id	failure mode	worker_score
-100730698505511386	unknown	False
-1014631663729567455	unknown	False
-1051645042051550437	unknown	True
-1062025579063837172	unknown	True
-106307786839741432	unknown	False
-1104690635200712872	unknown	True
-1230503989432015209	unknown	True
-1235993785024433049	unknown	False
-1243549732533291013	unknown	False
-1243700092932156594	unknown	True
-1250301781354451770	unknown	True
-1250384312819282515	unknown	True
-1432205510645020796	unknown	True
-1552506454386738661	unknown	True
-1623809032269407186	unknown	True
-1643376268932982556	unknown	True
-166046832406693820	unknown	True
-167537168331031432	unknown	False
-1690552203537877210	unknown	True
-1720004101322885463	unknown	True
-1741578904166746658	unknown	False
-1789409234169241738	unknown	True
-179173485965070933	unknown	True
-1845865400230246102	unknown	False
-1902256685250803108	unknown	False
-1909878919409191437	unknown	True
-1921174086910272934	unknown	False
-1921688260294901087	unknown	False
-1932352357432649491	unknown	True
-2035809625510998451	unknown	True
-2081169002521424337	unknown	True
-217080169408879418	unknown	True
-219078767031204805	unknown	True
-2245042029141852305	unknown	True
-2337717576030250637	unknown	True
-2349308384527633017	unknown	True
-2392607695554021436	unknown	True
-2421464244165664693	unknown	True
-2436487115142496773	unknown	True
-2457103711562576330	unknown	True
-2460660595182815648	unknown	True
-2469450951430190858	unknown	True
-2614853643381581775	unknown	True
-2670068388950448848	unknown	False
-2674218148248207125	unknown	True
-2698781633174701085	unknown	True
-2752727121534244617	unknown	False
-2760366538141433220	unknown	True
-2760444465859650813	unknown	True
-2771039865042839700	unknown	False
-2775986944898090662	unknown	True
-2828625526579407080	unknown	False
-2845998904524119807	unknown	True
-2858217585887278201	unknown	True
-2892999373161720018	unknown	True
-292732191413642251	unknown	False
-2937557393295929891	unknown	True
-2944021713637461904	unknown	True
-2977060794355633675	unknown	False
-3027673505491205045	unknown	True
-3069452634357745829	unknown	True
-3120290487131183952	unknown	True
-3120898029758465880	unknown	False
-3136694856001889841	unknown	True
-3140205990730541983	unknown	False
-3152300287084135814	unknown	False
-3195921190312267084	unknown	True
-3210014351189135535	unknown	True
-3211936048459072274	unknown	False
-3225324984946009452	unknown	True
-3240962908736256041	unknown	True
-3248419305586561643	unknown	False
-3323267438684991334	unknown	True
-3350253413867378156	unknown	True
-3415567214015190442	unknown	True
-3424398992278373310	unknown	True
-3482910700909845168	unknown	True
-3535269197342812035	unknown	True
-3566116914274135455	unknown	True
-3568329232738007720	unknown	True
-3595320493494079013	unknown	False
-3615105782676603474	unknown	True
-3633674844614115338	unknown	True
-3645371611311949315	unknown	True
-3654146225923131622	unknown	True
-3673984659423063466	unknown	True
-3778918850168210875	unknown	True
-3788821297911529590	unknown	True
-3813282093448595143	unknown	False
-3903491758641956804	unknown	True
-3904153107227785612	unknown	True
-3935182764443425786	unknown	True
-3954809343727830946	unknown	True
-3984685808971183991	unknown	True
-4020899936046167868	unknown	True
-40221445722205147	unknown	True
-4028001133635553191	unknown	True
-4204187987714646026	unknown	True
-4272500917961618795	unknown	True
-4375533232112653971	unknown	True
-443487675951245162	unknown	True
-447198893588059167	unknown	True
-4610161487207674944	unknown	True
-4636192580792339723	unknown	True
-463853144313703942	unknown	True
-4649677129009082332	unknown	True
-4674273358480790954	unknown	False
-4692946366034543312	unknown	True
-4707751315887508865	unknown	False
-4765145298510781258	unknown	True
-4807716149133774792	unknown	True
-4816333475494945778	unknown	False
-4838642364260213995	unknown	True
-4855527452751210972	unknown	False
-4861030589989856610	unknown	True
-4871423862938891108	unknown	True
-4977825646620228846	unknown	False
-5007248041572124696	unknown	False
-5069303003235454634	unknown	False
-5105784439735434629	unknown	True
-511737358083480899	unknown	True
-5149968286684814844	unknown	True
-5161912693552554396	unknown	False
-5173237741188393268	unknown	True
-5189940229704189320	unknown	False
-5260056815731037	unknown	True
-53243728314304743	unknown	False
-5434493949118567810	unknown	True
-5437400228701893849	unknown	True
-5445062420189691959	unknown	False
-5464231891470116697	unknown	True
-5483632512615474148	unknown	False
-5497368729779076412	unknown	True
-5564875703818376895	unknown	True
